question,expected_doc_ids,min_hits,ground_truth_answer,query_type,version_sensitive
"What is the default value of `n_estimators` in `RandomForestClassifier`?","modules.ensemble.random-forests|modules.ensemble.parameters|modules.ensemble.forests-of-randomized-trees",1,"In scikit-learn 1.5, RandomForestClassifier defaults to 100 estimators (trees). This default was raised from 10 to 100 in version 0.22.",factual,true
"What does `StandardScaler` do to input features?","modules.preprocessing.standardization-or-mean-removal-and-variance-scaling|modules.preprocessing.scaling-features-to-a-range",1,"StandardScaler centers each feature on zero mean and rescales it to unit variance, fitting those statistics on the training data and applying them to any later transform call.",factual,false
"What is the default value of `C` in `LogisticRegression`?","modules.linear_model.logistic-regression|modules.linear_model.binary-case",1,"LogisticRegression defaults to C=1.0, which is the inverse of the L2 regularization strength.",factual,false
"What distance metric does `KNeighborsClassifier` use by default?","modules.neighbors.nearest-neighbors-classification|modules.neighbors.classification",1,"By default it uses the Minkowski distance with p=2, which is equivalent to standard Euclidean distance.",factual,false
"What is the default `criterion` parameter for `DecisionTreeClassifier`?","modules.tree.classification|modules.tree.tips-on-practical-use",1,"DecisionTreeClassifier defaults to the 'gini' criterion, which measures Gini impurity of the node.",factual,false
"How many components does `PCA` keep when `n_components` is not specified?","modules.decomposition.pca-using-randomized-svd|modules.decomposition.exact-pca-and-probabilistic-interpretation|modules.decomposition.principal-component-analysis-pca",1,"With n_components left at None, PCA keeps min(n_samples, n_features) components — i.e. it preserves all of the variance the data can support.",factual,false
"What kernel does `SVC` use by default?","modules.svm.classification|modules.svm.svc",1,"SVC defaults to the radial-basis-function ('rbf') kernel.",factual,false
"What is the default value of `n_clusters` in `KMeans`?","modules.clustering.k-means|modules.clustering.mini-batch-k-means",1,"KMeans defaults to n_clusters=8.",factual,false
"What is the default solver for `LogisticRegression` in scikit-learn 1.5?","modules.linear_model.logistic-regression|modules.linear_model.solvers",1,"The default solver is 'lbfgs'. It handles L2 regularization and multinomial loss out of the box.",factual,true
"What does `fit_transform` do compared with calling `fit` then `transform` separately?","modules.preprocessing|modules.compose|glossary.fit-transform",1,"fit_transform is a convenience method that runs fit followed by transform on the same data, often implemented more efficiently than the two calls in sequence.",factual,false
"What does `train_test_split` return?","modules.cross_validation",1,"It returns a list of array splits: the input arrays partitioned into train and test subsets, in the same order they were passed in.",factual,false
"What does `GridSearchCV.best_score_` represent after fitting?","modules.grid_search.exhaustive-grid-search|modules.grid_search.tips-for-parameter-search",1,"It is the mean cross-validation score (using the configured scoring metric) of the best_estimator_ across the search's CV folds.",factual,false
"How do I scale features before clustering them?","modules.preprocessing|modules.clustering",1,"Fit a scaler such as StandardScaler on the training data, transform both train and test (or all) data with it, then pass the transformed array to the clustering estimator. A Pipeline is the idiomatic way to chain the two.",procedural,false
"How do I split a dataset into a training and a test set?","modules.cross_validation|modules.grid_search",1,"Use sklearn.model_selection.train_test_split: pass X and y, optionally specify test_size and random_state, and capture the four returned arrays.",procedural,false
"How do I encode categorical string features for a linear model?","modules.preprocessing.encoding-categorical-features|modules.preprocessing.onehotencoder",1,"Wrap the categorical columns in OneHotEncoder (for nominal categories) or OrdinalEncoder (when order matters), typically inside a ColumnTransformer so numeric columns pass through untouched.",procedural,false
"How do I tune hyperparameters with cross-validation?","modules.grid_search",1,"Wrap your estimator in GridSearchCV (or RandomizedSearchCV), pass a param_grid plus a cv strategy, fit on the training data, and read .best_params_ / .best_estimator_ off the result.",procedural,false
"How do I combine preprocessing and a model into a single object?","modules.compose",1,"Use sklearn.pipeline.Pipeline (or make_pipeline) to chain transformers and a final estimator; the resulting object exposes one fit/predict surface and handles transform composition for you.",procedural,false
"How do I get feature importances out of a fitted RandomForestClassifier?","modules.ensemble.feature-importance-evaluation|modules.ensemble.random-forests",1,"Read the .feature_importances_ attribute on the fitted estimator; values sum to 1 and reflect mean impurity decrease across the forest.",procedural,false
